Year,Année,ISO,Jurisdiction,Juridiction,Cause,Origine,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
2006,2006,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,6804.1,a,6804.1,a
2007,2007,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,2241.97,a,2241.97,a
2007,2007,PC,Parks Canada,Parcs Canada,Lightning,Foudre,222118.51,a,222118.51,a
2007,2007,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,3.1,a,3.1,a
2008,2008,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,8576.21200000001,a,8576.21200000001,a
2008,2008,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,9255,a,9255,a
2008,2008,PC,Parks Canada,Parcs Canada,Lightning,Foudre,4487.8,a,4487.8,a
2008,2008,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,19.711,a,19.711,a
2009,2009,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,19453.456,a,19453.456,a
2009,2009,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,6264.22,a,6264.22,a
2009,2009,PC,Parks Canada,Parcs Canada,Lightning,Foudre,17133.82,a,17133.82,a
2009,2009,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,10.082,a,10.082,a
2010,2010,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,30.5,a,30.5,a
2010,2010,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,2110.5,a,2110.5,a
2010,2010,PC,Parks Canada,Parcs Canada,Lightning,Foudre,5837.2414,a,5837.2414,a
2010,2010,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,5.1,a,5.1,a
2011,2011,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,14849.933,a,14849.933,a
2011,2011,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,4816.2,a,4816.2,a
2011,2011,PC,Parks Canada,Parcs Canada,Lightning,Foudre,23511.41,a,23511.41,a
2011,2011,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,46798.25,a,46798.25,a
2012,2012,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,262.6071,a,262.6071,a
2012,2012,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,1420.3,a,1420.3,a
2012,2012,PC,Parks Canada,Parcs Canada,Lightning,Foudre,272200.609,a,272200.609,a
2012,2012,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,620,a,620,a
2013,2013,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,5015.8612,a,5015.8612,a
2013,2013,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,1121.16,a,1121.16,a
2013,2013,PC,Parks Canada,Parcs Canada,Lightning,Foudre,48981.54,a,48981.54,a
2013,2013,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,4725.21,a,4725.21,a
2014,2014,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,0.3431,a,0.3431,a
2014,2014,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,3139.36,a,3139.36,a
2014,2014,PC,Parks Canada,Parcs Canada,Lightning,Foudre,267177.55,a,267177.55,a
2014,2014,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,0.45,a,0.45,a
2015,2015,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,8.31019999999999,a,8.31019999999999,a
2015,2015,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,6694.1,a,6694.1,a
2015,2015,PC,Parks Canada,Parcs Canada,Lightning,Foudre,457818.6,a,457818.6,a
2015,2015,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,508.61,a,508.61,a
2016,2016,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,1.5453,a,1.5453,a
2016,2016,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,3383.1538,a,3383.1538,a
2016,2016,PC,Parks Canada,Parcs Canada,Lightning,Foudre,7794.2901,a,7794.2901,a
2016,2016,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,0.5111,a,0.5111,a
2017,2017,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,3.86461,a,3.86461,a
2017,2017,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,1744.556,a,1744.556,a
2017,2017,PC,Parks Canada,Parcs Canada,Lightning,Foudre,92143.0224,a,92143.0224,a
2017,2017,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,25428.4701,a,25428.4701,a
2018,2018,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,193.5642,a,193.5642,a
2018,2018,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,37075.797,a,37075.797,a
2018,2018,PC,Parks Canada,Parcs Canada,Lightning,Foudre,25696.132,a,25696.132,a
2018,2018,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,12594.732,a,12594.732,a
2018,2018,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,2,a,2,a
2019,2019,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,4.34321,a,4.34321,a
2019,2019,PC,Parks Canada,Parcs Canada,Human activity,Activités humaines,308.15,a,308.15,a
2019,2019,PC,Parks Canada,Parcs Canada,Lightning,Foudre,36405.98,a,36405.98,a
2019,2019,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,0.3,a,0.3,a
2019,2019,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,81377.42,a,81377.42,a
2018,2018,PE,Prince Edward Island,Ile-du-Prince-Edouard,Human activity,Activités humaines,7.3901514601722,a,7.3901514601722,a
2019,2019,PE,Prince Edward Island,Ile-du-Prince-Edouard,Human activity,Activités humaines,14.21112824181,a,14.21112824181,a
1990,1990,QC,Quebec,Québec,Human activity,Activités humaines,18666.5,a,18666.5,a
1990,1990,QC,Quebec,Québec,Lightning,Foudre,64676.0999999999,a,64676.0999999999,a
1991,1991,QC,Quebec,Québec,Human activity,Activités humaines,42503.0999999999,a,42503.0999999999,a
1991,1991,QC,Quebec,Québec,Lightning,Foudre,395828.3,a,395828.3,a
1992,1992,QC,Quebec,Québec,Human activity,Activités humaines,8127.30000000001,a,8127.30000000001,a
1992,1992,QC,Quebec,Québec,Lightning,Foudre,18984.2,a,18984.2,a
1993,1993,QC,Quebec,Québec,Human activity,Activités humaines,1062.2,a,1062.2,a
1993,1993,QC,Quebec,Québec,Lightning,Foudre,127171.8,a,127171.8,a
1994,1994,QC,Quebec,Québec,Human activity,Activités humaines,792.900000000001,a,792.900000000001,a
1994,1994,QC,Quebec,Québec,Lightning,Foudre,115247.4,a,115247.4,a
1995,1995,QC,Quebec,Québec,Human activity,Activités humaines,123078.5,a,123078.5,a
1995,1995,QC,Quebec,Québec,Lightning,Foudre,604648.199999999,a,604648.199999999,a
1996,1996,QC,Quebec,Québec,Human activity,Activités humaines,9575.90000000001,a,9575.90000000001,a
1996,1996,QC,Quebec,Québec,Lightning,Foudre,682013.699999999,a,682013.699999999,a
1997,1997,QC,Quebec,Québec,Human activity,Activités humaines,4713.7,a,4713.7,a
1997,1997,QC,Quebec,Québec,Lightning,Foudre,388365.5,a,388365.5,a
1998,1998,QC,Quebec,Québec,Human activity,Activités humaines,13329.3,a,13329.3,a
1998,1998,QC,Quebec,Québec,Lightning,Foudre,404977.5,a,404977.5,a
1999,1999,QC,Quebec,Québec,Human activity,Activités humaines,3927.79999999999,a,3927.79999999999,a
1999,1999,QC,Quebec,Québec,Lightning,Foudre,93819.4000000001,a,93819.4000000001,a
2000,2000,QC,Quebec,Québec,Human activity,Activités humaines,672.400000000001,a,672.400000000001,a
2000,2000,QC,Quebec,Québec,Lightning,Foudre,38535.9,a,38535.9,a
2001,2001,QC,Quebec,Québec,Human activity,Activités humaines,5877.30000000002,a,5877.30000000002,a
2001,2001,QC,Quebec,Québec,Lightning,Foudre,27190.9,a,27190.9,a
2002,2002,QC,Quebec,Québec,Human activity,Activités humaines,5943.29999999999,a,5943.29999999999,a
2002,2002,QC,Quebec,Québec,Lightning,Foudre,1007806.3,a,1007806.3,a
2003,2003,QC,Quebec,Québec,Human activity,Activités humaines,9398.10000000004,a,9398.10000000004,a
2003,2003,QC,Quebec,Québec,Lightning,Foudre,78462.2,a,78462.2,a
2004,2004,QC,Quebec,Québec,Human activity,Activités humaines,802.100000000001,a,802.100000000001,a
2004,2004,QC,Quebec,Québec,Lightning,Foudre,2242.1,a,2242.1,a
2005,2005,QC,Quebec,Québec,Human activity,Activités humaines,33359.5999999999,a,33359.5999999999,a
2005,2005,QC,Quebec,Québec,Lightning,Foudre,766770.699999997,a,766770.699999997,a
2006,2006,QC,Quebec,Québec,Human activity,Activités humaines,65210.5999999999,a,65210.5999999999,a
2006,2006,QC,Quebec,Québec,Lightning,Foudre,71140.5000000001,a,71140.5000000001,a
2007,2007,QC,Quebec,Québec,Human activity,Activités humaines,120725.3,a,120725.3,a
2007,2007,QC,Quebec,Québec,Lightning,Foudre,221956.8,a,221956.8,a
2008,2008,QC,Quebec,Québec,Human activity,Activités humaines,148.2,a,148.2,a
2008,2008,QC,Quebec,Québec,Lightning,Foudre,1333.4,a,1333.4,a
2009,2009,QC,Quebec,Québec,Human activity,Activités humaines,2246.3,a,2246.3,a
2009,2009,QC,Quebec,Québec,Lightning,Foudre,91725.4,a,91725.4,a
2010,2010,QC,Quebec,Québec,Human activity,Activités humaines,36000.0999999999,a,36000.0999999999,a
2010,2010,QC,Quebec,Québec,Lightning,Foudre,278883.7,a,278883.7,a
2011,2011,QC,Quebec,Québec,Human activity,Activités humaines,2272.7,a,2272.7,a
2011,2011,QC,Quebec,Québec,Lightning,Foudre,10124.8,a,10124.8,a
2012,2012,QC,Quebec,Québec,Human activity,Activités humaines,24781.6999999999,a,24781.6999999999,a
2012,2012,QC,Quebec,Québec,Lightning,Foudre,39261.3999999999,a,39261.3999999999,a
2013,2013,QC,Quebec,Québec,Human activity,Activités humaines,17130.6999999999,a,17130.6999999999,a
2013,2013,QC,Quebec,Québec,Lightning,Foudre,1855711.5,a,1855711.5,a
2014,2014,QC,Quebec,Québec,Human activity,Activités humaines,8416.50000000001,a,8416.50000000001,a
2014,2014,QC,Quebec,Québec,Lightning,Foudre,55304.2,a,55304.2,a
2015,2015,QC,Quebec,Québec,Human activity,Activités humaines,1460.29999999999,a,1460.29999999999,a
2015,2015,QC,Quebec,Québec,Lightning,Foudre,3919.3,a,3919.3,a
2016,2016,QC,Quebec,Québec,Human activity,Activités humaines,334.400000000001,a,334.400000000001,a
2016,2016,QC,Quebec,Québec,Lightning,Foudre,33036.4,a,33036.4,a
2017,2017,QC,Quebec,Québec,Human activity,Activités humaines,1692.7,a,1692.7,a
2017,2017,QC,Quebec,Québec,Lightning,Foudre,36699.2,a,36699.2,a
2018,2018,QC,Quebec,Québec,Human activity,Activités humaines,15772.1,a,15772.1,a
2018,2018,QC,Quebec,Québec,Lightning,Foudre,70488.6,a,70488.6,a
2019,2019,QC,Quebec,Québec,Human activity,Activités humaines,5087.10000000001,a,5087.10000000001,a
2019,2019,QC,Quebec,Québec,Lightning,Foudre,4516.9,a,4516.9,a
1990,1990,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,35848.2861484503,a,35848.2861484503,a
1990,1990,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,180207.39208992,a,180207.39208992,a
1991,1991,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,33955.1599999997,a,33955.1599999997,a
1991,1991,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,164219.95,a,164219.95,a
1992,1992,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,9635.18000000005,a,9635.18000000005,a
1992,1992,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,88121.21,a,88121.21,a
1993,1993,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,132315.19,a,132315.19,a
1993,1993,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,475884.65,a,475884.65,a
1994,1994,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,3770.36000000001,a,3770.36000000001,a
1994,1994,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,842249.09,a,842249.09,a
1995,1995,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,63833.7100000001,a,63833.7100000001,a
1995,1995,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,1584600.18,a,1584600.18,a
1996,1996,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,732.309999999999,a,732.309999999999,a
1996,1996,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,12254.68,a,12254.68,a
1997,1997,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,1669.69,a,1669.69,a
1997,1997,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,2207.22,a,2207.22,a
1998,1998,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,158432.55,a,158432.55,a
1998,1998,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,880263.669999999,a,880263.669999999,a
1999,1999,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,9135.45,a,9135.45,a
1999,1999,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,171684.79,a,171684.79,a
2000,2000,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,10779.06,a,10779.06,a
2000,2000,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,130027.11,a,130027.11,a
2001,2001,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,39183.6599999999,a,39183.6599999999,a
2001,2001,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,164244.76,a,164244.76,a
2002,2002,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,101467.57,a,101467.57,a
2002,2002,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,778142.470000001,a,778142.470000001,a
2003,2003,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,12668.23,a,12668.23,a
2003,2003,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,112995.52,a,112995.52,a
2004,2004,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,7405.16,a,7405.16,a
2004,2004,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,250726.45,a,250726.45,a
2005,2005,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,8276.24000000001,a,8276.24000000001,a
2005,2005,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,205497.22,a,205497.22,a
2006,2006,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,181715.17,a,181715.17,a
2006,2006,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,1022011.37,a,1022011.37,a
2007,2007,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,4569.16000000001,a,4569.16000000001,a
2007,2007,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,208303.96,a,208303.96,a
2008,2008,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,30996.62,a,30996.62,a
2008,2008,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,1099180.61,a,1099180.61,a
2009,2009,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,4822.03000000001,a,4822.03000000001,a
2009,2009,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,32737.34,a,32737.34,a
2010,2010,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,208237.07,a,208237.07,a
2010,2010,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,1526570.11,a,1526570.11,a
2011,2011,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,55403.4999999999,a,55403.4999999999,a
2011,2011,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,288316.49,a,288316.49,a
2012,2012,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,6600.1,a,6600.1,a
2012,2012,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,220910.3,a,220910.3,a
2012,2012,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,1.1,a,1.1,a
2013,2013,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,7202.60000000003,a,7202.60000000003,a
2013,2013,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,356634.5,a,356634.5,a
2014,2014,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,15529.66,a,15529.66,a
2014,2014,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,327253.82,a,327253.82,a
2015,2015,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,41757.380815,a,41757.380815,a
2015,2015,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,1716975.6686,a,1716975.6686,a
2016,2016,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,2773.5,a,2773.5,a
2016,2016,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,251990.9,a,251990.9,a
2016,2016,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,0,a,0,a
2017,2017,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,451.200000000002,a,451.200000000002,a
2017,2017,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,398546.5,a,398546.5,a
2018,2018,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,47146.5999999999,a,47146.5999999999,a
2018,2018,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,108550.2,a,108550.2,a
2019,2019,SK,Saskatchewan,Saskatchewan,Human activity,Activités humaines,1531.4,a,1531.4,a
2019,2019,SK,Saskatchewan,Saskatchewan,Lightning,Foudre,46622.2,a,46622.2,a
2019,2019,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,0,a,0,a
1990,1990,YT,Yukon,Yukon,Human activity,Activités humaines,1412.99,a,1412.99,a
1990,1990,YT,Yukon,Yukon,Lightning,Foudre,181478.93,a,181478.93,a
1991,1991,YT,Yukon,Yukon,Human activity,Activités humaines,805.14,a,805.14,a
1991,1991,YT,Yukon,Yukon,Lightning,Foudre,119465.68,a,119465.68,a
1992,1992,YT,Yukon,Yukon,Human activity,Activités humaines,5998.23000000001,a,5998.23000000001,a
1992,1992,YT,Yukon,Yukon,Lightning,Foudre,31816.84,a,31816.84,a
1993,1993,YT,Yukon,Yukon,Human activity,Activités humaines,56.58,a,56.58,a
1993,1993,YT,Yukon,Yukon,Lightning,Foudre,115047.73,a,115047.73,a
1994,1994,YT,Yukon,Yukon,Human activity,Activités humaines,29.37,a,29.37,a
1994,1994,YT,Yukon,Yukon,Lightning,Foudre,421681.02,a,421681.02,a
1995,1995,YT,Yukon,Yukon,Human activity,Activités humaines,389.76,a,389.76,a
1995,1995,YT,Yukon,Yukon,Lightning,Foudre,260989.98,a,260989.98,a
1995,1995,YT,Yukon,Yukon,Unspecified,Indéterminée,502.5,a,502.5,a
1996,1996,YT,Yukon,Yukon,Human activity,Activités humaines,15040.38,a,15040.38,a
1996,1996,YT,Yukon,Yukon,Lightning,Foudre,76026.7499999999,a,76026.7499999999,a
1997,1997,YT,Yukon,Yukon,Human activity,Activités humaines,78.8100000000002,a,78.8100000000002,a
1997,1997,YT,Yukon,Yukon,Lightning,Foudre,11391.24,a,11391.24,a
1998,1998,YT,Yukon,Yukon,Human activity,Activités humaines,63760.7300000001,a,63760.7300000001,a
1998,1998,YT,Yukon,Yukon,Lightning,Foudre,279911.67,a,279911.67,a
1998,1998,YT,Yukon,Yukon,Unspecified,Indéterminée,59,a,59,a
1999,1999,YT,Yukon,Yukon,Human activity,Activités humaines,3280.24,a,3280.24,a
1999,1999,YT,Yukon,Yukon,Lightning,Foudre,191536.24,a,191536.24,a
2000,2000,YT,Yukon,Yukon,Human activity,Activités humaines,10.33,a,10.33,a
2000,2000,YT,Yukon,Yukon,Lightning,Foudre,7642.53,a,7642.53,a
2000,2000,YT,Yukon,Yukon,Unspecified,Indéterminée,363,a,363,a
2001,2001,YT,Yukon,Yukon,Human activity,Activités humaines,6.82,a,6.82,a
2001,2001,YT,Yukon,Yukon,Lightning,Foudre,17327.66,a,17327.66,a
2002,2002,YT,Yukon,Yukon,Human activity,Activités humaines,22.66,a,22.66,a
2002,2002,YT,Yukon,Yukon,Lightning,Foudre,36181.45,a,36181.45,a
2003,2003,YT,Yukon,Yukon,Human activity,Activités humaines,2940.47,a,2940.47,a
2003,2003,YT,Yukon,Yukon,Lightning,Foudre,45844.86,a,45844.86,a
2004,2004,YT,Yukon,Yukon,Human activity,Activités humaines,11631.47,a,11631.47,a
2004,2004,YT,Yukon,Yukon,Lightning,Foudre,1708032.62,a,1708032.62,a
2005,2005,YT,Yukon,Yukon,Human activity,Activités humaines,1.51,a,1.51,a
2005,2005,YT,Yukon,Yukon,Lightning,Foudre,187436.83,a,187436.83,a
2006,2006,YT,Yukon,Yukon,Human activity,Activités humaines,4.04,a,4.04,a
2006,2006,YT,Yukon,Yukon,Lightning,Foudre,95029.3,a,95029.3,a
2007,2007,YT,Yukon,Yukon,Human activity,Activités humaines,13989.01,a,13989.01,a
2007,2007,YT,Yukon,Yukon,Lightning,Foudre,23718.75,a,23718.75,a
2008,2008,YT,Yukon,Yukon,Human activity,Activités humaines,11.83,a,11.83,a
2008,2008,YT,Yukon,Yukon,Lightning,Foudre,13056.05,a,13056.05,a
2009,2009,YT,Yukon,Yukon,Human activity,Activités humaines,3.23,a,3.23,a
2009,2009,YT,Yukon,Yukon,Lightning,Foudre,230509.12,a,230509.12,a
2010,2010,YT,Yukon,Yukon,Human activity,Activités humaines,5261.48000000001,a,5261.48000000001,a
2010,2010,YT,Yukon,Yukon,Lightning,Foudre,141701.69,a,141701.69,a
2011,2011,YT,Yukon,Yukon,Human activity,Activités humaines,119.88,a,119.88,a
2011,2011,YT,Yukon,Yukon,Lightning,Foudre,40344.45,a,40344.45,a
2012,2012,YT,Yukon,Yukon,Human activity,Activités humaines,6.47,a,6.47,a
2012,2012,YT,Yukon,Yukon,Lightning,Foudre,58273.73,a,58273.73,a
2013,2013,YT,Yukon,Yukon,Human activity,Activités humaines,6.45,a,6.45,a
2013,2013,YT,Yukon,Yukon,Lightning,Foudre,198307.34,a,198307.34,a
2014,2014,YT,Yukon,Yukon,Human activity,Activités humaines,23.581,a,23.581,a
2014,2014,YT,Yukon,Yukon,Lightning,Foudre,3137.013,a,3137.013,a
2015,2015,YT,Yukon,Yukon,Human activity,Activités humaines,41.9,a,41.9,a
2015,2015,YT,Yukon,Yukon,Lightning,Foudre,169799.71,a,169799.71,a
2016,2016,YT,Yukon,Yukon,Human activity,Activités humaines,2.28,a,2.28,a
2016,2016,YT,Yukon,Yukon,Lightning,Foudre,21535.12,a,21535.12,a
2017,2017,YT,Yukon,Yukon,Human activity,Activités humaines,18.7,a,18.7,a
2017,2017,YT,Yukon,Yukon,Lightning,Foudre,399261.45,a,399261.45,a
2018,2018,YT,Yukon,Yukon,Human activity,Activités humaines,6487.33,a,6487.33,a
2018,2018,YT,Yukon,Yukon,Lightning,Foudre,74098.16,a,74098.16,a
2019,2019,YT,Yukon,Yukon,Human activity,Activités humaines,1331.3,a,1331.3,a
2019,2019,YT,Yukon,Yukon,Lightning,Foudre,254705.32,a,254705.32,a
2020,2020,BC,British Columbia,Colombie-Britannique,Unspecified,Indéterminée,14446,e,14446,e
2020,2020,YT,Yukon,Yukon,Unspecified,Indéterminée,15491,e,15491,e
2020,2020,AB,Alberta,Alberta,Unspecified,Indéterminée,3275,e,3275,e
2020,2020,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,Indéterminée,19073,e,19073,e
2020,2020,SK,Saskatchewan,Saskatchewan,Unspecified,Indéterminée,42160,e,42160,e
2020,2020,MB,Manitoba,Manitoba,Unspecified,Indéterminée,49527,e,49527,e
2020,2020,ON,Ontario,Ontario,Unspecified,Indéterminée,15480,e,15480,e
2020,2020,QC,Quebec,Québec,Unspecified,Indéterminée,59985,e,59985,e
2020,2020,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,4178,e,4178,e
2020,2020,NB,New Brunswick,Nouveau-Brunswick,Unspecified,Indéterminée,1388,e,1388,e
2020,2020,NS,Nova Scotia,Nouvelle-Ecosse,Unspecified,Indéterminée,709,e,709,e
2020,2020,PE,Prince Edward Island,Ile-du-Prince-Edouard,Unspecified,Indéterminée,13,e,13,e
2020,2020,PC,Parks Canada,Parcs Canada,Unspecified,Indéterminée,1664,e,1664,e
